"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"RFC2",7.91271554322603e-22,1.20501277198704,0.303,0.129,1.56529338876097e-17,"RFC2"
"SPIN1",8.45112076207409e-22,-1.40854888890228,0.203,0.359,1.6718007091535e-17,"SPIN1"
"TRIM56",8.59020832444069e-22,3.99112055162892,0.106,0.007,1.69931501074086e-17,"TRIM56"
"SERP1",8.82823906033437e-22,0.557107495040938,0.755,0.568,1.74640225091535e-17,"SERP1"
"DAZAP2",8.92840391667828e-22,0.725896874653264,0.589,0.378,1.7662168627973e-17,"DAZAP2"
"TRIP10",8.94943109019849e-22,2.55719863945567,0.128,0.017,1.77037645826307e-17,"TRIP10"
"SOBP",8.95995399358713e-22,-1.98059963504932,0.105,0.244,1.77245809901141e-17,"SOBP"
"AAAS",9.25305826133862e-22,1.07911938588746,0.334,0.149,1.83043998525801e-17,"AAAS"
"PLIN3",9.37714619981653e-22,1.27535303580936,0.301,0.129,1.85498706124771e-17,"PLIN3"
"KAT6B",1.03569736720666e-21,-1.07457269808916,0.374,0.512,2.04881653180821e-17,"KAT6B"
"TCF3",1.04673443102098e-21,1.33973235261129,0.254,0.092,2.07065005144569e-17,"TCF3"
"ADH5",1.06722698058063e-21,0.65848811283589,0.676,0.48,2.1111884129846e-17,"ADH5"
"SUGP1",1.07070725231377e-21,-1.78778226833093,0.124,0.266,2.1180730865271e-17,"SUGP1"
"POU3F3",1.11781424493912e-21,1.07102901348655,0.308,0.128,2.21126013933857e-17,"POU3F3"
"SLCO5A1",1.14268737819069e-21,-1.34478492355221,0.133,0.288,2.26046417153683e-17,"SLCO5A1"
"S100A6",1.15022730594851e-21,2.90673969894581,0.136,0.022,2.27537965662733e-17,"S100A6"
"ISG15",1.1852657121962e-21,1.99091473027728,0.174,0.043,2.34469263186652e-17,"ISG15"
"FAM177A1",1.22478496816469e-21,-0.863097607403029,0.387,0.537,2.42286962402339e-17,"FAM177A1"
"CPNE5",1.24212685309598e-21,-3.31888130405508,0.017,0.111,2.45717534079447e-17,"CPNE5"
"PCSK7",1.25618913611237e-21,-1.13450497078598,0.303,0.456,2.4849933490575e-17,"PCSK7"
"MITF",1.27615681344351e-21,3.99892371145644,0.105,0.007,2.52449340835396e-17,"MITF"
"CPSF6",1.33134863729669e-21,0.792279983834072,0.502,0.292,2.63367387430031e-17,"CPSF6"
"ZNF503",1.38034576521639e-21,2.25063837722259,0.198,0.061,2.73059999275106e-17,"ZNF503"
"AXL",1.70824394180917e-21,3.23790808223138,0.116,0.012,3.3792481656869e-17,"AXL"
"FOXP2",1.73780313033512e-21,2.75259801866846,0.112,0.01,3.43772215242894e-17,"FOXP2"
"KIF2A",1.78909065213899e-21,-0.98762594334104,0.349,0.498,3.53917912806135e-17,"KIF2A"
"SLC25A14",1.80506134340292e-21,-1.81902160407302,0.088,0.224,3.57077234951965e-17,"SLC25A14"
"MAB21L2",1.8412329353708e-21,4.68091443743876,0.102,0.006,3.64232699275052e-17,"MAB21L2"
"SPAG5",1.88514144925407e-21,2.72645695967903,0.114,0.011,3.72918681491441e-17,"SPAG5"
"NR2F2",1.99769270612585e-21,0.880877818792531,0.388,0.198,3.95183571125816e-17,"NR2F2"
"NCAPD2",2.0267967351386e-21,2.95808629580743,0.126,0.017,4.00940930145118e-17,"NCAPD2"
"DNASE2",2.10470223286121e-21,1.24189251495315,0.282,0.114,4.16352195704605e-17,"DNASE2"
"RAB1A",2.18850829133874e-21,-0.533649899944992,0.718,0.788,4.3293071019263e-17,"RAB1A"
"HSPA4L",2.31135239186959e-21,1.23570409473128,0.27,0.104,4.57231730159642e-17,"HSPA4L"
"MAB21L1",2.31224933366396e-21,3.02101128482872,0.142,0.027,4.57409163185405e-17,"MAB21L1"
"CSDE1",2.31357790966274e-21,-0.539391199725142,0.737,0.771,4.57671982089484e-17,"CSDE1"
"EFR3B",2.32227506265322e-21,-1.33098343559034,0.174,0.329,4.5939245289406e-17,"EFR3B"
"ARHGEF40",2.34638791243175e-21,1.75512304691673,0.188,0.052,4.64162456837248e-17,"ARHGEF40"
"TCF20",2.36290747090271e-21,-1.9106320251565,0.081,0.212,4.67430355893974e-17,"TCF20"
"CCNB1",2.43692782736116e-21,2.25198928827281,0.156,0.034,4.82073062808585e-17,"CCNB1"
"ADGRG1",2.45535673871179e-21,0.942598043485705,0.483,0.288,4.85718670051966e-17,"ADGRG1"
"C3orf58",2.46026036428911e-21,2.36419004384785,0.142,0.025,4.86688705263671e-17,"C3orf58"
"SLC12A5",2.55216962818298e-21,-1.75687682446614,0.093,0.23,5.04870195847157e-17,"SLC12A5"
"ZNF793",2.57077816900875e-21,-1.56101086512736,0.159,0.309,5.08551337393311e-17,"ZNF793"
"RP3-403A15.5",2.64910310939071e-21,-2.25169011294458,0.044,0.16,5.2404557709967e-17,"RP3-403A15.5"
"TWSG1",2.78483478631289e-21,2.01416274848476,0.163,0.038,5.50896017428415e-17,"TWSG1"
"PHYHIPL",2.99366266378786e-21,1.28228942826891,0.35,0.178,5.92206348150514e-17,"PHYHIPL"
"HIST1H1C",3.57771895436693e-21,1.62766922275823,0.208,0.065,7.07744363552865e-17,"HIST1H1C"
"PARPBP",3.61805568685833e-21,2.65773975696468,0.118,0.013,7.15723775974316e-17,"PARPBP"
"CFAP20",3.74882140293868e-21,0.68227656384536,0.677,0.488,7.4159184992933e-17,"CFAP20"
"TULP4",3.93546755339516e-21,-1.21948972202937,0.194,0.35,7.78514191412631e-17,"TULP4"
"UBXN2A",4.17539736012328e-21,1.00291401414457,0.317,0.139,8.25977105779587e-17,"UBXN2A"
"SMAD3",4.32884453309273e-21,2.79887708770261,0.119,0.014,8.56332025536404e-17,"SMAD3"
"TMEM63B",4.35377631276044e-21,-1.8943698822191,0.078,0.208,8.61264030190271e-17,"TMEM63B"
"DDB2",4.39726379463671e-21,1.73906333415962,0.177,0.046,8.69866723855034e-17,"DDB2"
"POU2F1",4.57437416321676e-21,0.942365348489257,0.403,0.209,9.04902696967539e-17,"POU2F1"
"HBP1",4.7470464912597e-21,1.36103263378239,0.276,0.115,9.39060736900994e-17,"HBP1"
"JAKMIP2",4.76522490068909e-21,-0.83059568080883,0.444,0.576,9.42656789854315e-17,"JAKMIP2"
"EFS",4.7801263671718e-21,1.44740844166294,0.211,0.066,9.45604597953925e-17,"EFS"
"ADARB1",5.04750604376993e-21,-3.09406213591923,0.017,0.109,9.98497645578568e-17,"ADARB1"
"NR1D2",5.05381117195296e-21,2.61874235008252,0.136,0.023,9.99744926035735e-17,"NR1D2"
"SCARA3",5.09291507883006e-21,2.64620234599183,0.128,0.019,1.00748046089416e-16,"SCARA3"
"HAUS6",5.12869248770354e-21,1.1001842931763,0.293,0.122,1.01455794791751e-16,"HAUS6"
"PAM",5.36736127954625e-21,1.37724603613646,0.247,0.09,1.06177140831984e-16,"PAM"
"KCNQ3",5.51315240275631e-21,-2.02724032289131,0.068,0.193,1.09061180831325e-16,"KCNQ3"
