"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"SERPINI1",2.27636151207739e-50,-2.93921461077825,0.085,0.48,4.50309834319149e-46,"SERPINI1","Neuron"
"RALYL",3.56634906419893e-50,-2.67543874498239,0.107,0.501,7.05495171879833e-46,"RALYL","Neuron"
"YWHAB",1.81918247406881e-49,-0.855612687838387,0.835,0.936,3.59870677020293e-45,"YWHAB","Neuron"
"SH3GL2",4.06503086052771e-49,-2.24934467388852,0.147,0.552,8.04144404829591e-45,"SH3GL2","Neuron"
"RBP1",4.08637505105779e-49,3.41944968514464,0.33,0.05,8.08366712600251e-45,"RBP1","IP"
"LHX2",7.59030810618414e-49,1.84779558665911,0.626,0.288,1.50151474956535e-44,"LHX2","IP"
"RPS27L",1.11236072497997e-48,1.93065816038857,0.694,0.395,2.20047198615537e-44,"RPS27L","IP"
"ENC1",1.63338014054498e-48,1.0541897157172,0.821,0.463,3.23115259402608e-44,"ENC1","IP"
"TMEM123",1.24857590399392e-47,3.33151824526768,0.334,0.058,2.46993285328076e-43,"TMEM123","IP"
"ELAVL2",1.39895841546849e-47,2.19336195907619,0.505,0.173,2.76741953747976e-43,"ELAVL2","IP"
"FABP7",1.88125159767028e-47,1.79887905829803,0.708,0.404,3.72149191051135e-43,"FABP7","IP"
"CDH7",3.24206955707658e-47,-3.85364656727543,0.056,0.412,6.41346199780888e-43,"CDH7","Neuron"
"CASC15",2.21632879173373e-46,2.90432348511651,0.338,0.059,4.38434161580767e-42,"CASC15","IP"
"C21orf59",2.29288124505818e-46,2.17392818043882,0.577,0.28,4.5357776789741e-42,"C21orf59","IP"
"NOL4",2.30847776728101e-46,-1.79702273041112,0.25,0.624,4.5666307192353e-42,"NOL4","Neuron"
"TTC9B",6.69749117918537e-46,-1.36211713431541,0.342,0.739,1.32489770506645e-41,"TTC9B","Neuron"
"RPL37",1.36725799313775e-45,0.518426537346202,1,0.991,2.70470976202509e-41,"RPL37","IP"
"GRIA1",2.10259918030324e-45,-1.91382723678971,0.147,0.547,4.15936169847587e-41,"GRIA1","Neuron"
"RPLP2",5.2685973646339e-45,0.442936586688024,1,0.995,1.04223393067188e-40,"RPLP2","Not Significant"
"SSBP2",9.04599817589999e-45,-1.38912333474964,0.396,0.749,1.78947935915654e-40,"SSBP2","Neuron"
"YBX1",1.38996056228122e-44,-0.41588684785762,1,1,2.7496199843047e-40,"YBX1","Not Significant"
"NEGR1",7.97153327451985e-44,-4.90502739863622,0.018,0.34,1.57692871236552e-39,"NEGR1","Neuron"
"ST3GAL1",4.40462783650898e-43,-2.71234967358115,0.101,0.457,8.71323478618206e-39,"ST3GAL1","Neuron"
"CRMP1",1.25927755516345e-42,-0.717984778940934,0.871,0.959,2.49110285962434e-38,"CRMP1","Neuron"
"NGFRAP1",2.3144829297892e-42,-0.588949277936491,0.956,0.98,4.578510131709e-38,"NGFRAP1","Neuron"
"HPCA",2.74840743060344e-42,-3.04761119038815,0.058,0.394,5.43689957921972e-38,"HPCA","Neuron"
"RPS3A",5.41028451225772e-42,0.443460141249115,1,0.998,1.07026248221482e-37,"RPS3A","Not Significant"
"KLHL35",8.75371843111424e-42,2.34870234459179,0.465,0.173,1.73166058004302e-37,"KLHL35","IP"
"PCSK1N",9.01475865438476e-42,-0.914520538571017,0.726,0.892,1.78329955701039e-37,"PCSK1N","Neuron"
"GPX1",9.76540096155547e-42,1.24436105344084,0.708,0.383,1.9317916182149e-37,"GPX1","IP"
"HMP19",1.580033109149e-41,-0.91461965542821,0.644,0.926,3.12562149651856e-37,"HMP19","Neuron"
"GRIN2B",1.68289787286431e-41,-2.74785499294639,0.066,0.404,3.32910857210017e-37,"GRIN2B","Neuron"
"APLP1",1.94914625858956e-41,-0.925180133488571,0.674,0.874,3.85580112874186e-37,"APLP1","Neuron"
"LINGO1",5.874117985783e-41,-2.29343861371636,0.129,0.477,1.16201801994759e-36,"LINGO1","Neuron"
"AC004158.3",6.1101808642215e-41,-2.2717671231986,0.111,0.464,1.2087159785603e-36,"AC004158.3","Neuron"
"GNAO1",1.46186666789415e-40,-1.73198157285442,0.213,0.573,2.89186464242821e-36,"GNAO1","Neuron"
"CDKN2D",1.70558278930231e-40,-1.30479175284072,0.406,0.73,3.37398387379782e-36,"CDKN2D","Neuron"
"RPS9",2.36736875249537e-40,0.49679414186816,0.998,0.981,4.68312886618634e-36,"RPS9","Not Significant"
"MSI2",2.99470430760995e-40,2.11288138113023,0.455,0.166,5.924124061314e-36,"MSI2","IP"
"RCN1",3.45509563345013e-40,2.62487791067804,0.362,0.092,6.83487018209104e-36,"RCN1","IP"
"TMEM14A",5.50643978175174e-40,-1.41528540613585,0.344,0.681,1.08928391762613e-35,"TMEM14A","Neuron"
"RPS23",7.10868312469017e-40,0.409968483415272,1,0.996,1.40623969572621e-35,"RPS23","Not Significant"
"PEBP1",7.24426317724595e-40,-0.57886764180228,0.958,0.983,1.43306014172279e-35,"PEBP1","Neuron"
"ZEB1",7.62193565385953e-40,3.08209507940329,0.298,0.055,1.50777131104649e-35,"ZEB1","IP"
"CDC42",9.66810697052318e-40,-0.698204147042293,0.891,0.965,1.9125449209089e-35,"CDC42","Neuron"
"CALM1",1.16901143109714e-39,-0.582637378175395,0.958,0.992,2.31253841299637e-35,"CALM1","Neuron"
"BEX4",2.87343630066754e-39,-0.918784062405404,0.63,0.877,5.68423168998052e-35,"BEX4","Neuron"
"GUCY1A3",3.68460652738399e-39,-3.63934873991879,0.042,0.352,7.28888863247101e-35,"GUCY1A3","Neuron"
"CALY",4.19937874469174e-39,-3.72576194200666,0.034,0.339,8.3072110327492e-35,"CALY","Neuron"
"RPL21",8.62201757769085e-39,0.44884233093237,1,0.996,1.7056075172188e-34,"RPL21","Not Significant"
"STMN2",1.33147822359876e-38,-0.657530172701157,0.839,0.998,2.63393022192308e-34,"STMN2","Neuron"
"XPR1",1.4189577593834e-38,-1.77814016320703,0.219,0.569,2.80698223961223e-34,"XPR1","Neuron"
"DDAH2",1.68732525391944e-38,0.787699828128208,0.946,0.841,3.33786681730344e-34,"DDAH2","IP"
"RPL13A",1.73514399536967e-38,0.353608563326547,1,0.999,3.43246185164027e-34,"RPL13A","Not Significant"
"THRA",2.84008679391879e-38,-1.00466492471173,0.583,0.822,5.61825969573016e-34,"THRA","Neuron"
"FTL",1.76001831707359e-37,0.511219125731782,0.996,0.985,3.48166823483498e-33,"FTL","IP"
"RPL23",1.85971461711868e-37,0.496250767389218,0.996,0.989,3.67888745558418e-33,"RPL23","Not Significant"
"MDH1",2.19430429708756e-37,-1.01740734913572,0.549,0.812,4.3407727604986e-33,"MDH1","Neuron"
"CHGA",3.40444971480117e-37,-2.35968461159214,0.133,0.457,6.73468242581968e-33,"CHGA","Neuron"
"GPM6A",6.91038691857172e-37,-0.597460315720997,0.94,0.987,1.36701274023186e-32,"GPM6A","Neuron"
"SCD5",1.14321091076579e-36,-1.31441617056891,0.314,0.667,2.26149982367688e-32,"SCD5","Neuron"
"CNN3",1.18765534654593e-36,1.37795583457081,0.664,0.43,2.34941980653716e-32,"CNN3","IP"
"CLTB",2.22578952595789e-36,-1.35262298573379,0.326,0.658,4.4030568402499e-32,"CLTB","Neuron"
"THY1",3.11466913012132e-36,-1.79940118169982,0.185,0.532,6.161438473206e-32,"THY1","Neuron"
"BEX1",3.55017199139957e-36,-0.733561602058689,0.813,0.933,7.02295023338663e-32,"BEX1","Neuron"
"SPTAN1",3.61534655590842e-36,-1.3105330298281,0.318,0.665,7.15187855689804e-32,"SPTAN1","Neuron"
"SLA",3.9001297181071e-36,-1.09279188032505,0.227,0.625,7.71523660835947e-32,"SLA","Neuron"
"RPS21",4.92767358640927e-36,0.597140357428101,0.966,0.945,9.74792388863482e-32,"RPS21","IP"
"FXYD7",5.64535953200528e-36,-3.14724504352937,0.04,0.334,1.11676502262129e-31,"FXYD7","Neuron"
"EEF1D",6.0538544284035e-36,0.95517560666742,0.877,0.759,1.19757348302678e-31,"EEF1D","IP"
"MAL2",6.50835715995683e-36,-6.38057225300454,0.004,0.268,1.28748321338266e-31,"MAL2","Neuron"
"RPL19",7.77066609048367e-36,0.382515377290661,1,0.998,1.53719316601948e-31,"RPL19","Not Significant"
"PAFAH1B3",8.09793084319296e-36,-0.66547890179395,0.785,0.945,1.60193267940043e-31,"PAFAH1B3","Neuron"
"DACH1",9.72623259632365e-36,3.32789273532929,0.243,0.036,1.92404333220474e-31,"DACH1","IP"
"RPL6",1.3946041940176e-35,0.454757242488443,1,0.998,2.75880601660561e-31,"RPL6","Not Significant"
"PRKX",3.91166095933301e-35,1.64949813416128,0.529,0.246,7.73804770975255e-31,"PRKX","IP"
"RPL8",4.0734722539468e-35,0.430545650287066,0.998,0.993,8.05814281275756e-31,"RPL8","Not Significant"
"HSPA8",5.03762268236336e-35,-0.496557468880623,0.98,0.987,9.9654251902512e-31,"HSPA8","Not Significant"
"DACH2",7.01547480548648e-35,-3.45020598271465,0.034,0.315,1.38780122602134e-30,"DACH2","Neuron"
"RPL30",7.49968768182786e-35,0.407459354802385,1,0.994,1.48358821721919e-30,"RPL30","Not Significant"
"SSBP3",9.7366519037424e-35,-1.47206582527933,0.274,0.6,1.92610447959832e-30,"SSBP3","Neuron"
"FAT3",1.15448054603165e-34,-2.76236526809811,0.058,0.353,2.28379341615982e-30,"FAT3","Neuron"
"GAREM1",1.53383952387965e-34,-3.80002082817774,0.026,0.3,3.03424134613872e-30,"GAREM1","Neuron"
"SRPK2",1.80553663590631e-34,-1.00605339618584,0.586,0.805,3.57171257314986e-30,"SRPK2","Neuron"
"DISP2",2.16072630064559e-34,-3.1948259638781,0.05,0.335,4.27434876793711e-30,"DISP2","Neuron"
"LMO7",2.28033223242768e-34,-3.82797113785242,0.032,0.307,4.51095322218843e-30,"LMO7","Neuron"
"SLC8A1",2.38075491825082e-34,-2.30975485852955,0.085,0.395,4.70960937928378e-30,"SLC8A1","Neuron"
"TUBB2A",2.64998725681345e-34,-0.630401276410352,0.962,0.988,5.24220479142837e-30,"TUBB2A","Neuron"
"VSNL1",2.90307371752786e-34,-4.21946669030628,0.028,0.299,5.74286042801361e-30,"VSNL1","Neuron"
"CELF4",3.43123303733334e-34,-1.35929244649795,0.368,0.69,6.78766519445282e-30,"CELF4","Neuron"
"THSD7A",5.21513365150296e-34,-1.42766522160667,0.358,0.664,1.03165773894032e-29,"THSD7A","Neuron"
"PPP1R17",8.39898725034726e-34,3.61658210409397,0.193,0.017,1.66148765786369e-29,"PPP1R17","IP"
"GABBR2",9.45130430078209e-34,-3.36163979647984,0.024,0.296,1.86965701678071e-29,"GABBR2","Neuron"
"RHOBTB3",1.43664227071713e-33,1.30566001937961,0.622,0.341,2.84196573993263e-29,"RHOBTB3","IP"
"PLXDC2",1.58343113088409e-33,-4.30251445360389,0.014,0.272,3.13234346311491e-29,"PLXDC2","Neuron"
"TMEM108",2.03943647042299e-33,-2.62800418287927,0.078,0.376,4.03441322579076e-29,"TMEM108","Neuron"
"KIDINS220",2.07824970755557e-33,-0.976438483732898,0.539,0.797,4.11119357148643e-29,"KIDINS220","Neuron"
"PCBP4",2.19240607835168e-33,1.63006097238573,0.535,0.277,4.33701770419529e-29,"PCBP4","IP"
"ATP5G1",2.58382724095278e-33,-1.03393321407249,0.505,0.78,5.1113270480528e-29,"ATP5G1","Neuron"
"NEO1",2.75072307977812e-33,-1.92862190160521,0.151,0.468,5.44148039641708e-29,"NEO1","Neuron"
"MAP1B",4.04046537555308e-33,-0.406321660439719,1,1,7.99284860591911e-29,"MAP1B","Not Significant"
"ATP6AP2",5.58603360462838e-33,-1.16912404730948,0.451,0.741,1.10502916766759e-28,"ATP6AP2","Neuron"
"NPR3",7.15098756045132e-33,-6.03944527478742,0.004,0.249,1.41460835920848e-28,"NPR3","Neuron"
"CLMP",8.37963077232548e-33,-2.09910481210703,0.083,0.388,1.65765855938143e-28,"CLMP","Neuron"
"GRIA3",1.10311612936772e-32,-2.33874700761172,0.08,0.377,2.18218432711522e-28,"GRIA3","Neuron"
"SCN3B",1.36129095189431e-32,-1.86444099535027,0.169,0.481,2.69290576103732e-28,"SCN3B","Neuron"
"DDX5",1.40979293971547e-32,0.484090897084717,0.998,0.991,2.78885239334515e-28,"DDX5","Not Significant"
"FLRT2",1.56502432825648e-32,-3.67898015781366,0.03,0.293,3.09593112615697e-28,"FLRT2","Neuron"
"NDUFA5",1.79355945592233e-32,-0.7306763457182,0.759,0.885,3.54801931570556e-28,"NDUFA5","Neuron"
"PPP2R2B",1.88325675815958e-32,-0.960824531876027,0.406,0.767,3.72545851899128e-28,"PPP2R2B","Neuron"
"SCN2A",2.13583887579708e-32,-3.58814105731559,0.032,0.295,4.22511646410178e-28,"SCN2A","Neuron"
"C1orf216",2.43247563781326e-32,-3.1053061782693,0.042,0.312,4.81192330672219e-28,"C1orf216","Neuron"
"DOK6",2.58000661410773e-32,-2.78180361684821,0.064,0.343,5.1037690840279e-28,"DOK6","Neuron"
"TM2D3",2.8662805616112e-32,-1.23617908010586,0.362,0.677,5.67007620697928e-28,"TM2D3","Neuron"
"FAM3C",3.64272515542979e-32,-1.43491407521807,0.378,0.659,7.20603890247121e-28,"FAM3C","Neuron"
"ID2",5.70851033442298e-32,-1.23949807827201,0.525,0.807,1.12925751435555e-27,"ID2","Neuron"
"BTBD17",6.47715955258477e-32,4.68080807909426,0.163,0.009,1.28131170269232e-27,"BTBD17","IP"
"SPINK5",8.22214413285096e-32,4.7566655782764,0.181,0.016,1.62650455236058e-27,"SPINK5","IP"
"DMTN",9.30769202114193e-32,-1.60972617100502,0.161,0.484,1.8412476356223e-27,"DMTN","Neuron"
"RPL24",1.3508272414932e-31,0.367226359994339,1,0.995,2.67220644912185e-27,"RPL24","Not Significant"
"RGS16",1.92697328120423e-31,2.89228139451742,0.366,0.13,3.8119385448782e-27,"RGS16","IP"
"MFAP4",2.02705263491688e-31,4.01388311582177,0.183,0.017,4.00991552239258e-27,"MFAP4","IP"
"ATP8A2",2.77645743349984e-31,-2.74218228940065,0.06,0.333,5.49238809494938e-27,"ATP8A2","Neuron"
"ACTL6A",3.12180359126319e-31,1.87430600256825,0.388,0.136,6.17555186423685e-27,"ACTL6A","IP"
"CALM3",3.54227836714894e-31,-0.64121029710558,0.865,0.936,7.00733506589403e-27,"CALM3","Neuron"
"CTNND2",3.83968906924541e-31,-2.06800092897407,0.143,0.435,7.59567291678126e-27,"CTNND2","Neuron"
"ITGB1",4.0370646901877e-31,1.89909689180383,0.408,0.154,7.98612137012931e-27,"ITGB1","IP"
"RPL18A",4.40508433033571e-31,0.373871662613003,1,0.995,8.7141378222701e-27,"RPL18A","Not Significant"
"RPL7",5.21670931801225e-31,0.330502337140573,1,0.999,1.03196943728918e-26,"RPL7","Not Significant"
"TBCB",6.84971509347809e-31,-0.779201584755979,0.726,0.895,1.35501063979184e-26,"TBCB","Neuron"
"ARL4D",1.3487870432818e-30,1.45994881281793,0.678,0.496,2.66817052902005e-26,"ARL4D","IP"
"GADD45G",1.58771791068357e-30,1.14067622392403,0.775,0.592,3.14082357091423e-26,"GADD45G","IP"
"ZNF608",1.77671722026985e-30,1.9080690840715,0.356,0.114,3.51470200513781e-26,"ZNF608","IP"
"ATAT1",2.01457826920181e-30,-0.876503244490113,0.596,0.821,3.98523873213503e-26,"ATAT1","Neuron"
"OLFM1",2.73930570728053e-30,-1.02220327423702,0.453,0.725,5.41889455014234e-26,"OLFM1","Neuron"
"SEZ6",3.66197425489076e-30,-1.13559749205409,0.302,0.639,7.24411747102491e-26,"SEZ6","Neuron"
"PRR7",3.68822287221667e-30,-1.78400207145032,0.131,0.431,7.29604248581903e-26,"PRR7","Neuron"
"KLHDC8A",7.22882529012025e-30,2.54991599424243,0.312,0.092,1.43000621889159e-25,"KLHDC8A","IP"
"PODXL2",9.00844514820545e-30,-0.840830802539595,0.555,0.82,1.782050619218e-25,"PODXL2","Neuron"
"CLCN4",1.19376993017465e-29,-2.64547907122306,0.058,0.321,2.3615156758715e-25,"CLCN4","Neuron"
"SRSF3",1.24533472259089e-29,0.630800745831157,0.954,0.899,2.46352114822929e-25,"SRSF3","IP"
"BCL11A",1.62440055500922e-29,-0.873379652464154,0.626,0.826,3.21338917791924e-25,"BCL11A","Neuron"
"MYO6",1.79004911885107e-29,1.1920531735611,0.702,0.487,3.54107516691118e-25,"MYO6","IP"
"SEZ6L2",1.83933267086675e-29,-0.975116845126574,0.465,0.753,3.63856788950861e-25,"SEZ6L2","Neuron"
"PPP3CA",2.28012146227964e-29,-1.35156259073936,0.352,0.657,4.51053627668158e-25,"PPP3CA","Neuron"
"GPR22",2.35308196950752e-29,-6.65008256604623,0.004,0.225,4.65486675207978e-25,"GPR22","Neuron"
"MYL6",2.93097313948385e-29,0.749779719568074,0.958,0.913,5.79805106452695e-25,"MYL6","IP"
"ZEB2",3.48680336789956e-29,-1.29098135986983,0.256,0.56,6.89759442237891e-25,"ZEB2","Neuron"
