"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"LYPD1",4.27539781097476e-56,3.92489231679427,0.308,0.023,8.45759194967027e-52,"LYPD1","Progenitor"
"ANKRD12",4.33315643237677e-56,-1.45714525227704,0.505,0.819,8.57185005452772e-52,"ANKRD12","Neuron"
"ANK3",6.12982739451549e-56,-2.66355678101356,0.147,0.588,1.21260245518306e-51,"ANK3","Neuron"
"JUN",6.64395883425446e-56,-1.38425675115478,0.65,0.898,1.31430793659222e-51,"JUN","Neuron"
"RPL10A",7.04741254931297e-56,0.556677921338824,1,0.992,1.39411915050509e-51,"RPL10A","Progenitor"
"SRPK2",7.26001919435117e-56,-1.55623680083206,0.495,0.805,1.43617699702655e-51,"SRPK2","Neuron"
"RPS8",8.0726794597252e-56,0.512136634248087,1,0.997,1.59693745072284e-51,"RPS8","Progenitor"
"GAS1",1.06209741716966e-55,3.44510988528003,0.339,0.036,2.10104111064502e-51,"GAS1","Progenitor"
"TM2D3",1.15538619935053e-55,-2.14586126678114,0.264,0.677,2.28558497955521e-51,"TM2D3","Neuron"
"MSN",1.18380546979964e-55,4.3666214855523,0.29,0.017,2.34180398035765e-51,"MSN","Progenitor"
"ZEB1",1.46568129796816e-55,3.23208638205778,0.379,0.055,2.89941074364062e-51,"ZEB1","Progenitor"
"HES6",1.90965553633413e-55,2.8767853237944,0.862,0.634,3.77768058197617e-51,"HES6","Progenitor"
"TMEM14A",6.28015865606936e-55,-2.07823695266333,0.269,0.681,1.24234098534364e-50,"TMEM14A","Neuron"
"WLS",7.65830802980257e-55,3.56558625335924,0.315,0.027,1.51496649445555e-50,"WLS","Progenitor"
"CKS2",8.436142105044e-55,1.71971383789741,0.748,0.384,1.66883763121981e-50,"CKS2","Progenitor"
"CEP170",1.0761927919355e-54,-1.79803899719718,0.334,0.737,2.12892458100682e-50,"CEP170","Neuron"
"ACTL6B",1.66649614014267e-54,-7.59952303185866,0.002,0.42,3.29666266443022e-50,"ACTL6B","Neuron"
"B2M",1.78305376322534e-54,2.03318823472608,0.542,0.149,3.52723695441237e-50,"B2M","Progenitor"
"TUBB2B",1.90848012280608e-54,-0.894187825157727,0.995,1,3.77535537893498e-50,"TUBB2B","Neuron"
"AKAP9",3.0738143166503e-54,-1.36363644084934,0.568,0.852,6.08061948119762e-50,"AKAP9","Neuron"
"AUTS2",3.4549338077333e-54,-1.78078686583391,0.332,0.739,6.83455005845801e-50,"AUTS2","Neuron"
"SLC25A4",3.85203326709477e-54,-1.8198490770555,0.357,0.727,7.62009220896688e-50,"SLC25A4","Neuron"
"MT-ND1",4.32548146564694e-54,-0.865900531396524,0.981,0.977,8.55666743534277e-50,"MT-ND1","Neuron"
"MGLL",4.90727798848158e-54,-5.79099894438275,0.014,0.433,9.70757731681425e-50,"MGLL","Neuron"
"FGFR1",5.48468608975352e-54,3.27234929745246,0.336,0.038,1.08498060227504e-49,"FGFR1","Progenitor"
"BTF3",5.73585396035022e-54,0.666080390035152,0.998,0.967,1.13466663043648e-49,"BTF3","Progenitor"
"NAV1",6.47890514978864e-54,-3.39149019018647,0.065,0.502,1.28165701673119e-49,"NAV1","Neuron"
