"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"FIGN",6.57881790851208e-15,2.13690634502798,0.174,0.032,1.30142175866186e-10,"FIGN","Progenitor"
"GPX8",6.7152971559095e-15,4.31591846978508,0.12,0.004,1.32842008338202e-10,"GPX8","Progenitor"
"RGMB",6.76447127372552e-15,-1.90850575278401,0.118,0.252,1.33814770736838e-10,"RGMB","IP"
"CEP152",6.84856091745548e-15,3.05591474420597,0.14,0.014,1.35478232069104e-10,"CEP152","Progenitor"
"LINC01224",6.92320146947008e-15,2.67977832241968,0.151,0.02,1.36954771469057e-10,"LINC01224","Progenitor"
"CNP",6.99120746449684e-15,0.970411762677143,0.409,0.195,1.38300066062676e-10,"CNP","Progenitor"
"POLD1",7.05486211578172e-15,2.47866207675267,0.156,0.022,1.39559282374394e-10,"POLD1","Progenitor"
"WDR76",7.27335805484856e-15,1.87246756859753,0.194,0.044,1.43881569041014e-10,"WDR76","Progenitor"
"ILK",7.40709864150227e-15,0.907021361847908,0.442,0.223,1.46527225326198e-10,"ILK","Progenitor"
"C19orf43",8.06574320873243e-15,-0.503294961002904,0.857,0.853,1.59556532155145e-10,"C19orf43","IP"
"RAB2A",8.08379802649178e-15,-0.559890744826136,0.727,0.771,1.5991369256006e-10,"RAB2A","IP"
"TACC3",8.19031864821556e-15,3.30822489236846,0.135,0.012,1.62020883499e-10,"TACC3","Progenitor"
"CREM",8.20268347633301e-15,1.14918090686055,0.306,0.119,1.6226548452882e-10,"CREM","Progenitor"
"TECR",8.36334022114883e-15,0.730943272615837,0.603,0.378,1.65443596254766e-10,"TECR","Progenitor"
"CHMP4B",8.41191627784157e-15,0.742327194377409,0.563,0.336,1.66404527808262e-10,"CHMP4B","Progenitor"
"RRAGD",8.67526712023563e-15,1.39134153045595,0.23,0.068,1.71614134172501e-10,"RRAGD","Progenitor"
"HAUS6",8.75613419291338e-15,1.14238251248772,0.293,0.107,1.73213846604212e-10,"HAUS6","Progenitor"
"TMX1",8.83660799320504e-15,0.80806899942723,0.476,0.247,1.74805779321582e-10,"TMX1","Progenitor"
"IRX5",8.92662933613331e-15,2.6169657086906,0.172,0.034,1.76586581527389e-10,"IRX5","Progenitor"
"HLA-B",8.99915510925736e-15,1.49531513703471,0.255,0.085,1.78021286371329e-10,"HLA-B","Progenitor"
"JAG1",9.25259524840393e-15,2.14767642432635,0.2,0.05,1.83034839203927e-10,"JAG1","Progenitor"
"PYCR1",9.30606695355897e-15,0.879754900207495,0.412,0.201,1.84092616475303e-10,"PYCR1","Progenitor"
"POLR2J",9.34080527021923e-15,0.626199020058648,0.7,0.493,1.84779809855477e-10,"POLR2J","Progenitor"
"FUCA2",9.43381975963683e-15,2.10891118396109,0.172,0.032,1.86619822485136e-10,"FUCA2","Progenitor"
"CHAF1B",9.55092355421538e-15,3.0524960560903,0.132,0.01,1.88936369749489e-10,"CHAF1B","Progenitor"
"CKAP2L",1.00471474065779e-14,3.77592548165293,0.127,0.008,1.98752669996924e-10,"CKAP2L","Progenitor"
"FKBP14",1.00694015143313e-14,1.9441855219766,0.186,0.04,1.99192900756502e-10,"FKBP14","Progenitor"
"HAUS8",1.01311763449681e-14,3.24657179730089,0.138,0.014,2.0041493045616e-10,"HAUS8","Progenitor"
"CDCA4",1.03513135187209e-14,1.55663287359605,0.249,0.083,2.04769684027338e-10,"CDCA4","Progenitor"
"OLFM2",1.068202155836e-14,-1.9594126295087,0.057,0.169,2.11311750467478e-10,"OLFM2","IP"
"GAS1",1.14002197843369e-14,1.18939600721289,0.291,0.107,2.25519147773753e-10,"GAS1","Progenitor"
"PCDHGB6",1.15692862956709e-14,-2.26292470350916,0.058,0.169,2.28863621500962e-10,"PCDHGB6","IP"
"SNHG18",1.16421757504151e-14,2.62086967235843,0.142,0.016,2.30305520694712e-10,"SNHG18","Progenitor"
"FZD10",1.19300551643216e-14,3.86219614461987,0.142,0.018,2.36000351260611e-10,"FZD10","Progenitor"
"GINS1",1.21398469931046e-14,3.07678246064916,0.131,0.01,2.40150453217594e-10,"GINS1","Progenitor"
"ZC2HC1A",1.28335546754615e-14,-1.05241193802502,0.403,0.519,2.53873378589978e-10,"ZC2HC1A","IP"
"FAM111B",1.32858167848002e-14,5.31083457606092,0.117,0.004,2.62820027636918e-10,"FAM111B","Progenitor"
"MCAM",1.36981661454331e-14,3.07736003035861,0.137,0.014,2.70977122688958e-10,"MCAM","Progenitor"
