"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"ARMC8",0.215613328418954,-0.434185150049809,0.241,0.234,1,"ARMC8","Not Significant"
"C11orf96",0.216824634887386,-0.398934642980957,0.158,0.165,1,"C11orf96","Not Significant"
"MED29",0.217324898306924,-0.529837172137035,0.154,0.157,1,"MED29","Not Significant"
"TTLL7",0.218587327821994,-0.373873660061265,0.262,0.256,1,"TTLL7","Not Significant"
"HSPA13",0.21866804557434,-0.253170503091979,0.155,0.134,1,"HSPA13","Not Significant"
"PYM1",0.220220027420455,-0.411881626211186,0.146,0.124,1,"PYM1","Not Significant"
"CHST11",0.220654179299734,-0.629966808607467,0.101,0.107,1,"CHST11","Not Significant"
"UBL4A",0.221247199491611,-0.260359756049745,0.196,0.169,1,"UBL4A","Not Significant"
"C19orf60",0.22279487694254,-0.389383968082534,0.394,0.355,1,"C19orf60","Not Significant"
"MAPKAP1",0.224643899919146,-0.335924073522048,0.19,0.162,1,"MAPKAP1","Not Significant"
"LRRC40",0.224895814614158,-0.487615968411124,0.232,0.225,1,"LRRC40","Not Significant"
"INPP5F",0.225612726360324,-0.522055864903622,0.142,0.148,1,"INPP5F","Not Significant"
"ZFC3H1",0.226453727837324,-0.25071527409379,0.132,0.114,1,"ZFC3H1","Not Significant"
"SIAH1",0.227224572123719,-0.263665356692503,0.452,0.407,1,"SIAH1","Not Significant"
"PHAX",0.227232074550988,-0.319578282424753,0.413,0.373,1,"PHAX","Not Significant"
"OGT",0.227385582685161,-0.367112444680682,0.101,0.086,1,"OGT","Not Significant"
"IRS2",0.228934674860569,-0.323565471285096,0.275,0.232,1,"IRS2","Not Significant"
"PPP6C",0.230135681697198,-0.351043181034904,0.196,0.167,1,"PPP6C","Not Significant"
"PI4KB",0.230258289065981,-0.286779440117118,0.141,0.122,1,"PI4KB","Not Significant"
"ARFGEF1",0.230802278207065,-0.282643873983847,0.132,0.114,1,"ARFGEF1","Not Significant"
"RHOT1",0.23203233125608,-0.421817911287482,0.287,0.271,1,"RHOT1","Not Significant"
"CEP250",0.232705100484353,-0.337842744615714,0.135,0.116,1,"CEP250","Not Significant"
"LAMTOR3",0.233676067079867,-0.441275121108607,0.319,0.295,1,"LAMTOR3","Not Significant"
"JARID2",0.23408978713232,-0.32841558635202,0.206,0.176,1,"JARID2","Not Significant"
"ACYP2",0.23450206201565,-0.259283890653663,0.149,0.129,1,"ACYP2","Not Significant"
"TMEM167B",0.23457785723695,-0.251348120917578,0.217,0.186,1,"TMEM167B","Not Significant"
"IP6K1",0.23488122459799,-0.486582986976855,0.197,0.196,1,"IP6K1","Not Significant"
"ZPR1",0.23713383274047,-0.260761167657527,0.232,0.2,1,"ZPR1","Not Significant"
"SMAD1",0.237491776978035,-0.354793712002657,0.139,0.121,1,"SMAD1","Not Significant"
"SCYL1",0.237840534789387,-0.274366056835981,0.165,0.142,1,"SCYL1","Not Significant"
"TMEM55A",0.239321067901055,-0.502377721025198,0.216,0.211,1,"TMEM55A","Not Significant"
"CCDC85B",0.239772464040061,-0.306187893402941,0.379,0.352,1,"CCDC85B","Not Significant"
"RB1CC1",0.240546686648981,-0.259841710571678,0.469,0.421,1,"RB1CC1","Not Significant"
"MAP3K11",0.241617107550136,-0.317667529061072,0.128,0.11,1,"MAP3K11","Not Significant"
"PELP1",0.242698925114526,-0.34578899412042,0.212,0.18,1,"PELP1","Not Significant"
"AGPAT1",0.243569603582603,-0.51902704268525,0.195,0.194,1,"AGPAT1","Not Significant"
"LLNLR-245B6.1",0.246727638117195,-0.468761586037309,0.234,0.228,1,"LLNLR-245B6.1","Not Significant"
"MAD1L1",0.247487119418763,-0.351979903647092,0.142,0.122,1,"MAD1L1","Not Significant"
"OS9",0.248534318897541,-0.254014998664715,0.393,0.364,1,"OS9","Not Significant"
"RING1",0.248563442227809,-0.547361153905958,0.23,0.22,1,"RING1","Not Significant"
"PHF12",0.249825354118203,-0.262458111323054,0.103,0.089,1,"PHF12","Not Significant"
"SLC35C2",0.251583390488326,-0.268715915301743,0.166,0.144,1,"SLC35C2","Not Significant"
"GPSM1",0.252368203969635,-0.606126777523068,0.108,0.114,1,"GPSM1","Not Significant"
"DGCR6L",0.253164551059208,-0.308387392326488,0.265,0.226,1,"DGCR6L","Not Significant"
"COQ7",0.253413464953591,-0.46407750003609,0.216,0.212,1,"COQ7","Not Significant"
"C18orf32",0.254998217646482,-0.479911050720673,0.168,0.17,1,"C18orf32","Not Significant"
"ZNF512",0.255892400301171,-0.48411634341588,0.182,0.182,1,"ZNF512","Not Significant"
"ANKRD36B",0.257226784316706,-0.56832530232187,0.175,0.174,1,"ANKRD36B","Not Significant"
"ZSCAN26",0.257303923848151,-0.527977718127562,0.11,0.117,1,"ZSCAN26","Not Significant"
"BIN1",0.258442082143658,-0.465477809328731,0.233,0.225,1,"BIN1","Not Significant"
"PTPN9",0.258506417325795,-0.362056285656747,0.102,0.088,1,"PTPN9","Not Significant"
"MYEF2",0.259507960408236,-0.322059909638172,0.445,0.396,1,"MYEF2","Not Significant"
"DCBLD2",0.26224051339947,-0.623034885301877,0.152,0.153,1,"DCBLD2","Not Significant"
"TTLL1",0.262531879419742,-0.285196147369796,0.127,0.111,1,"TTLL1","Not Significant"
